Идентификатор События;Тип События;Идентификатор Пользователя;Дата/Время;Источник ;Тип Устройства;Успешный ли звонок;Кол-во Просмотренных Страниц;Сумма заказа
43f932d7-063d-4b30-90b8-e77dd59e18f7;1;7c70a16b-39f4-443c-a4e2-b0522c4bc7d4;2024-03-22 21:50:00;Инстаграмм;Планшет;;97;
7dbf3168-5b09-4e59-a8da-582c6afc1743;2;7c70a16b-39f4-443c-a4e2-b0522c4bc7d4;2024-03-22 21:50:00;Гугл;;False;;
cc46f8f8-ca94-4675-939f-9bd37b7f0874;1;5cabe313-c00a-494a-9193-3d35c255b6e3;2024-03-22 21:50:00;Инстаграмм;Планшет;;5;
8964a9b2-7e3d-4492-b6dd-0230865e9765;1;3665183f-c5a3-44af-a3ac-2a2fd602d5d2;2024-03-22 21:50:00;Фейсбук;Телефон;;12;
d7ae7dbf-cb57-4010-9673-52430866d00f;1;6cf70de6-6522-4832-97db-5d372f0b30ee;2024-03-22 21:50:00;Фейсбук;Телефон;;47;
2d72bcf3-4727-4ecf-96f2-8273279c2310;2;6cf70de6-6522-4832-97db-5d372f0b30ee;2024-03-22 21:50:00;Гугл;;False;;
6e2c724a-64c9-4b5d-8a20-0268ccab65fb;1;0fbf1c0f-a630-4cb2-b13a-1ae7416cf593;2024-03-22 21:50:00;Инстаграмм;Десктоп;;45;
5f466e59-3be4-4d60-bdaf-090c0e8e8eb9;2;0fbf1c0f-a630-4cb2-b13a-1ae7416cf593;2024-03-22 21:50:00;Опера;;True;;
b8a9fb30-7613-4972-a85e-9230f34439ab;3;0fbf1c0f-a630-4cb2-b13a-1ae7416cf593;2024-03-22 21:50:00;;;;;3750634
20121696-5db6-4575-a1d7-c28af6e85536;4;0fbf1c0f-a630-4cb2-b13a-1ae7416cf593;2024-03-22 21:50:00;;;;;3727581
247c60bf-c768-4c48-8995-efaaec40384f;1;3ee22276-cd28-4f61-a55d-6624ab98bde0;2024-03-22 21:50:00;Опера;Десктоп;;98;
2c096b0e-668a-426f-8477-6a8cd3ef7603;2;3ee22276-cd28-4f61-a55d-6624ab98bde0;2024-03-22 21:50:00;Гугл;;True;;
f03144ae-7434-4ef8-a72e-b7cc5750673a;3;3ee22276-cd28-4f61-a55d-6624ab98bde0;2024-03-22 21:50:00;;;;;9885255
1271a939-a9fe-4b66-bf4c-2c2a41ecae27;4;3ee22276-cd28-4f61-a55d-6624ab98bde0;2024-03-22 21:50:00;;;;;4057184
49709476-62e2-4a0e-bf4b-3b00d2171ab6;1;e25b62a6-3274-45f9-84e9-b138b43daace;2024-03-22 21:50:00;Яндекс;Планшет;;16;
4c305b5b-8209-46d0-86c8-d68111f75b67;1;f8d80eb9-91b3-42ac-8f52-b0f8afa81a5f;2024-03-22 21:50:00;Опера;Планшет;;83;
3d07bc6d-34da-4856-9223-0ec066436e24;2;f8d80eb9-91b3-42ac-8f52-b0f8afa81a5f;2024-03-22 21:50:00;Инстаграмм;;False;;
bd7dc2fa-ef85-46fe-9abe-37b771f2f138;1;36868d03-e7e0-4e14-b8d9-10f5bab52fbe;2024-03-22 21:50:00;Опера;Планшет;;50;
6782b902-cc10-4c63-a514-a8c7fbcb379f;2;36868d03-e7e0-4e14-b8d9-10f5bab52fbe;2024-03-22 21:50:00;Фейсбук;;True;;
4378590b-8783-4a2f-9bf7-13ae5e55b7a9;3;36868d03-e7e0-4e14-b8d9-10f5bab52fbe;2024-03-22 21:50:00;;;;;4487954
067f23d7-ee8c-4d36-bf6f-0db92ecfd7ef;4;36868d03-e7e0-4e14-b8d9-10f5bab52fbe;2024-03-22 21:50:00;;;;;387769
4a15d8e3-0e84-41d9-8b22-1768d1d4222b;1;47ea338a-caff-4e42-b081-1b317cbbe9f4;2024-03-22 21:50:00;Опера;Десктоп;;64;
f4499797-e8d3-45ae-afaa-a614a236f2b0;1;86e76082-959d-47ac-9bf7-eea7917f585f;2024-03-22 21:50:00;Гугл;Десктоп;;34;
